Model,Model_Key,Fit_Stage,Year,CO2_ppm,Observed_Temperature_Change_From_1951_1980_C,Fitted_Temperature_Change_From_1951_1980_C,Residual_C,Absolute_Residual_C
Linear CO2,linear_co2,full_data,1959,315.98,0.03,-0.08218498065176982,0.11218498065176982,0.11218498065176982
Linear CO2,linear_co2,full_data,1960,316.91,-0.03,-0.07244176778390221,0.04244176778390221,0.04244176778390221
Linear CO2,linear_co2,full_data,1961,317.64,0.06,-0.0647938695112753,0.1247938695112753,0.1247938695112753
Linear CO2,linear_co2,full_data,1962,318.45,0.03,-0.056307845400552115,0.08630784540055211,0.08630784540055211
Linear CO2,linear_co2,full_data,1963,318.99,0.05,-0.05065049599340288,0.10065049599340288,0.10065049599340288
Linear CO2,linear_co2,full_data,1964,319.62,-0.2,-0.044050255018395656,-0.15594974498160435,0.15594974498160435
Linear CO2,linear_co2,full_data,1965,320.04,-0.11,-0.03965009436839084,-0.07034990563160916,0.07034990563160916
Linear CO2,linear_co2,full_data,1966,321.37,-0.06,-0.02571625231004271,-0.03428374768995729,0.03428374768995729
Linear CO2,linear_co2,full_data,1967,322.18,-0.02,-0.017230228199319075,-0.002769771800680925,0.002769771800680925
Linear CO2,linear_co2,full_data,1968,323.05,-0.08,-0.008115609710023897,-0.0718843902899761,0.0718843902899761
Linear CO2,linear_co2,full_data,1969,324.62,0.05,0.008332609862613083,0.04166739013738692,0.04166739013738692
Linear CO2,linear_co2,full_data,1970,325.68,0.03,0.01943777721738682,0.010562222782613179,0.010562222782613179
Linear CO2,linear_co2,full_data,1971,326.32,-0.08,0.026142783922155743,-0.10614278392215575,0.10614278392215575
Linear CO2,linear_co2,full_data,1972,327.46,0.01,0.03808607711502576,-0.02808607711502576,0.02808607711502576
Linear CO2,linear_co2,full_data,1973,329.68,0.16,0.06134406912219381,0.09865593087780619,0.09865593087780619
Linear CO2,linear_co2,full_data,1974,330.19,-0.07,0.06668712134005661,-0.13668712134005662,0.13668712134005662
Linear CO2,linear_co2,full_data,1975,331.13,-0.01,0.07653509993768592,-0.08653509993768592,0.08653509993768592
Linear CO2,linear_co2,full_data,1976,332.03,-0.1,0.08596401561626754,-0.18596401561626755,0.18596401561626755
